timestamp_ns,layer,event,value
13669651543197,L7_OpenCL,test_start,0
13669651547932,L7_OpenCL,init_start,0
13669995820555,L7_OpenCL,clGetPlatformIDs,0
13669995822639,L7_OpenCL,clGetDeviceIDs,0
13669996120685,L7_OpenCL,clCreateContext,0
13669996128700,L7_OpenCL,clCreateCommandQueue,0
13669996129841,L6_IGC,compile_start,0
13669996148136,L6_IGC,clCreateProgramWithSource,0
13669997659985,L6_IGC,clBuildProgram,0
13669997666496,L6_IGC,isa_binary_size,3016
13669997669632,L5_CommandStream,batch_start,0
13669997675454,L5_CommandStream,clCreateKernel,0
13669998159225,L5_CommandStream,clCreateBuffer,0
13669998386538,L5_CommandStream,clSetKernelArg,0
13669998387303,L4_DRM,open_start,0
13669998489929,L4_DRM,drm_fd,5
13670063559177,L3_i915,gem_capture,99435377296683
13670063561496,L2_GPU,exec_start,0
13670067154610,L2_GPU,clEnqueueNDRangeKernel,0
13670067410133,L2_GPU,clWaitForEvents,0
13670067413608,L2_GPU,gpu_exec_ns,3000
13670136242886,L3_i915,gem_capture,99435377296978
13670136244334,L1_Memory,read_start,0
13670136461249,L1_Memory,clEnqueueReadBuffer,0
13670136461322,L1_Memory,output[0],3735928559
13670136463527,L7_OpenCL,verification,1
13670136548775,L7_OpenCL,test_end,485006744
