timestamp_ns,phase,event,value
16804357126062,INIT,test_start,0
16804357127123,DRM,open_start,0
16804357199481,DRM,drm_fd,5
16804357202058,DRM,context_create_start,0
16804357206239,DRM,ctx_id,1
16804357215148,GEM,isa_handle,1
16804357218108,GEM,surface_handle,2
16804357222280,GEM,desc_handle,3
16804357225949,GEM,batch_handle,4
16804357229426,GEM,output_handle,5
16804357261353,GEM,isa_filled,48
16804357272869,GEM,surface_filled,64
16804357281431,GEM,desc_filled,32
16804357328612,GEM,batch_filled,272
16804357329625,GEM,relocations_configured,5
16804357329755,GPU,exec_start,0
16804357775212,GPU,exec_success,445364
16804357783447,GPU,wait_start,0
16805028209455,GPU,wait_success,670425762
16805028216873,MEMORY,read_start,0
16805028247722,MEMORY,output[0],0
16805028255968,VERIFY,success,0
16805028350751,INIT,test_end,671224915
