timestamp_ns,phase,event,value
18041264929944,INIT,test_start,0
18041264931279,OPENCL,compile_start,0
18041605213163,OPENCL,platform_id,109449650428112
18041605218985,OPENCL,device_id,109449650547552
18041605680666,OPENCL,context_created,109449650553200
18041605913504,OPENCL,program_created,109449650560544
18041608401172,OPENCL,program_built,0
18041608404017,OPENCL,binary_extract_start,0
18041608407432,OPENCL,binary_size,3016
18041608409363,OPENCL,binary_extracted,3016
18041608876170,ANALYSIS,structure_start,0
18041608936921,ANALYSIS,structure_analyzed,3016
18041608937413,DRM,open_start,0
18041609150175,DRM,drm_fd,5
18041609155614,DRM,context_create_start,0
18041609168989,DRM,ctx_id,1
18041609198232,GEM,isa_handle,1
18041609198358,GEM,isa_size,4096
18041609211000,GEM,surface_handle,2
18041609222241,GEM,desc_handle,3
18041609232343,GEM,batch_handle,4
18041609244380,GEM,output_handle,5
18041609362959,GEM,isa_filled,256
18041609425093,GEM,surface_filled,64
18041609474473,GEM,desc_filled,32
18041609692937,GEM,batch_filled,272
18041609696675,GEM,relocations_configured,5
18041609697098,GPU,exec_start,0
18041610566438,GPU,exec_success,868846
18041610603205,GPU,wait_start,0
18042274363471,GPU,wait_success,663759802
18042274378510,MEMORY,read_start,0
18042274457766,MEMORY,output[0],0
18042274484343,VERIFY,success,0
18042274643816,INIT,test_end,1009714101
