timestamp_ns,phase,event,value
19560768179785,INIT,test_start,0
19560768220998,OPENCL,get_platform_start,0
19561084514415,OPENCL,platform_id,100000429557968
19561084514687,OPENCL,platform_error,0
19561084519213,OPENCL,platform_name_len,24
19561084524825,OPENCL,get_device_start,0
19561084530747,OPENCL,device_id,100000429677408
19561084530848,OPENCL,device_error,0
19561084535945,OPENCL,device_name_len,25
19561084537651,OPENCL,create_context_start,0
19561084801276,OPENCL,context_id,100000429683056
19561084801455,OPENCL,context_error,0
19561084803199,OPENCL,create_queue_start,0
19561084823759,OPENCL,queue_id,100000414976624
19561084823880,OPENCL,queue_error,0
19561084824620,OPENCL,create_program_start,0
19561084872569,OPENCL,program_id,100000429690400
19561084872700,OPENCL,program_error,0
19561084873405,OPENCL,build_program_start,0
19561087423010,OPENCL,build_error,0
19561087423198,OPENCL,build_time_ns,2549071
19561087434270,OPENCL,create_kernel_start,0
19561087459348,OPENCL,kernel_id,100000429213232
19561087459503,OPENCL,kernel_error,0
19561087460529,OPENCL,create_buffer_start,0
19561089386986,OPENCL,buffer_id,100000415115936
19561089387178,OPENCL,buffer_error,0
19561089389712,OPENCL,set_arg_start,0
19561089774237,OPENCL,set_arg_error,0
19561089775670,OPENCL,enqueue_kernel_start,0
19561103784226,OPENCL,enqueue_error,0
19561103784456,OPENCL,enqueue_time_ns,14007949
19561103797812,OPENCL,finish_start,0
19561103818558,OPENCL,finish_error,0
19561103818685,OPENCL,finish_time_ns,20433
19561103822756,OPENCL,read_buffer_start,0
19561104179076,OPENCL,read_error,0
19561104179251,OPENCL,read_time_ns,355924
19561104179391,OPENCL,output_value,3735928559
19561104188300,VERIFY,success,1
19561105121201,INIT,test_end,336941163
