timestamp_ns,phase,event,value,ptr,size
485194404803,MEMORY,alloc,472,0x5dedc24d62a0,472
485194735143,MEMORY,free,472,0x5dedc24d62a0,0
485194742322,MEMORY,alloc,472,0x5dedc24d62a0,472
485194835096,MEMORY,free,472,0x5dedc24d62a0,0
485194841227,MEMORY,alloc,472,0x5dedc24d62a0,472
485194922541,MEMORY,free,472,0x5dedc24d62a0,0
485241780671,INIT,reverse_engineering_start,0,(nil),0
485242438549,MEMORY,alloc,4096,0x5dedc24d6480,4096
485242441796,REVERSE,libigdrcl_start,0,(nil),0
485242454159,MEMORY,alloc,52,0x5dedc24d7490,52
485244370725,MEMORY,alloc,52,0x5dedc24d79f0,52
485246110813,MEMORY,alloc,38,0x5dedc24d7a30,38
485246372126,MEMORY,alloc,38,0x5dedc24d7f50,38
485246957458,MEMORY,alloc,37,0x5dedc24d7f80,37
485247305032,MEMORY,alloc,37,0x5dedc24d84a0,37
485248409539,MEMORY,alloc,32,0x5dedc24d84d0,32
485248640488,MEMORY,alloc,32,0x5dedc24d89f0,32
485249162179,MEMORY,alloc,36,0x5dedc24d8a20,36
485249382031,MEMORY,alloc,36,0x5dedc24d8f40,36
485250190104,MEMORY,alloc,72,0x5dedc24d8f70,72
485250203270,MEMORY,alloc,88,0x5dedc24d8fc0,88
485250209500,MEMORY,alloc,56,0x5dedc24d9020,56
485250212211,MEMORY,alloc,56,0x5dedc24d9060,56
485250214110,MEMORY,alloc,120,0x5dedc24d90a0,120
485251251840,MEMORY,free_unknown,0,0x5dedc24da160,0
485251974027,MEMORY,free_unknown,0,0x5dedc24da550,0
485255558966,MEMORY,alloc,144,0x5dedc24da550,144
485255561283,MEMORY,alloc,40,0x5dedc24da5f0,40
485255572023,MEMORY,alloc,2304,0x5dedc24dbcf0,2304
485255574071,MEMORY,free,40,0x5dedc24da5f0,0
485255832933,MEMORY,alloc,73728,0x5dedc24dc600,73728
485255843620,MEMORY,alloc,216,0x5dedc24da620,216
485256837799,MEMORY,alloc,21,0x5dedc24da700,21
485256838557,MEMORY,alloc,19,0x5dedc24da720,19
485258411679,MEMORY,alloc,8,0x5dedc24da740,8
485258412243,MEMORY,alloc,16,0x5dedc24da760,16
485258413637,MEMORY,free,8,0x5dedc24da740,0
485258416445,MEMORY,alloc,472,0x5dedc24d62a0,472
485258749155,MEMORY,free,472,0x5dedc24d62a0,0
485258751634,MEMORY,alloc,472,0x5dedc24d62a0,472
485258882728,MEMORY,free,472,0x5dedc24d62a0,0
485258884550,MEMORY,free,16,0x5dedc24da760,0
485259196355,MEMORY,alloc,8,0x5dedc24da760,8
485259896254,MEMORY,alloc,31,0x5dedc24da5f0,31
485259897724,MEMORY,free,31,0x5dedc24da5f0,0
485259898549,MEMORY,alloc,31,0x5dedc24da5f0,31
485259899223,MEMORY,free,31,0x5dedc24da5f0,0
485259899760,MEMORY,alloc,31,0x5dedc24da5f0,31
485259900646,MEMORY,free,31,0x5dedc24da5f0,0
485259901396,MEMORY,alloc,36,0x5dedc24da5f0,36
485259902150,MEMORY,free,36,0x5dedc24da5f0,0
485259902654,MEMORY,alloc,32,0x5dedc24da5f0,32
485259903206,MEMORY,free,32,0x5dedc24da5f0,0
485259903594,MEMORY,alloc,31,0x5dedc24da5f0,31
485259904115,MEMORY,free,31,0x5dedc24da5f0,0
485259904566,MEMORY,alloc,31,0x5dedc24da5f0,31
485259905153,MEMORY,free,31,0x5dedc24da5f0,0
485259905601,MEMORY,alloc,31,0x5dedc24da5f0,31
485259906205,MEMORY,free,31,0x5dedc24da5f0,0
485260257765,MEMORY,alloc,31,0x5dedc24da5f0,31
485260259336,MEMORY,free,31,0x5dedc24da5f0,0
485260259995,MEMORY,alloc,31,0x5dedc24da5f0,31
485260260814,MEMORY,free,31,0x5dedc24da5f0,0
485260261173,MEMORY,alloc,31,0x5dedc24da5f0,31
485260261834,MEMORY,free,31,0x5dedc24da5f0,0
485260262859,MEMORY,alloc,31,0x5dedc24da5f0,31
485260263575,MEMORY,free,31,0x5dedc24da5f0,0
485260263912,MEMORY,alloc,31,0x5dedc24da5f0,31
485260264631,MEMORY,free,31,0x5dedc24da5f0,0
485260264973,MEMORY,alloc,31,0x5dedc24da5f0,31
485260265464,MEMORY,free,31,0x5dedc24da5f0,0
485260266550,MEMORY,alloc,38,0x5dedc24da5f0,38
485260267185,MEMORY,free,38,0x5dedc24da5f0,0
485260267564,MEMORY,alloc,34,0x5dedc24da5f0,34
485260268183,MEMORY,free,34,0x5dedc24da5f0,0
485260268558,MEMORY,alloc,31,0x5dedc24da5f0,31
485260269035,MEMORY,free,31,0x5dedc24da5f0,0
485263496663,MEMORY,alloc,24,0x5dedc24da740,24
485263498924,MEMORY,alloc,20,0x5dedc24da780,20
485263499316,MEMORY,alloc,16,0x5dedc24da7a0,16
485263898794,MEMORY,alloc,72,0x5dedc24da7c0,72
485263899822,MEMORY,alloc,72,0x5dedc24da810,72
485263900400,MEMORY,alloc,72,0x5dedc24da860,72
485263900843,MEMORY,alloc,72,0x5dedc24da8b0,72
485263901264,MEMORY,alloc,72,0x5dedc24da900,72
485263902794,MEMORY,alloc,72,0x5dedc24da950,72
485263903247,MEMORY,alloc,72,0x5dedc24da9a0,72
485263903667,MEMORY,alloc,72,0x5dedc24da9f0,72
485263904183,MEMORY,alloc,72,0x5dedc24daa40,72
485263904503,MEMORY,alloc,72,0x5dedc24daa90,72
485263905344,MEMORY,alloc,72,0x5dedc24daae0,72
485263905754,MEMORY,alloc,72,0x5dedc24dab30,72
485263907920,MEMORY,alloc,72,0x5dedc24dab80,72
485263908400,MEMORY,alloc,72,0x5dedc24dabd0,72
485263908979,MEMORY,alloc,72,0x5dedc24dac20,72
485263909544,MEMORY,alloc,72,0x5dedc24dac70,72
485263910627,MEMORY,alloc,72,0x5dedc24ee610,72
485263911174,MEMORY,alloc,72,0x5dedc24ee660,72
485263911493,MEMORY,alloc,72,0x5dedc24ee6b0,72
485263911865,MEMORY,alloc,72,0x5dedc24ee700,72
485263912309,MEMORY,alloc,72,0x5dedc24ee750,72
485263912749,MEMORY,alloc,72,0x5dedc24ee7a0,72
485263913322,MEMORY,alloc,72,0x5dedc24ee7f0,72
485263913893,MEMORY,alloc,72,0x5dedc24ee840,72
485263914337,MEMORY,alloc,72,0x5dedc24ee890,72
