time_sec,tx_submitted,tx_validated,tx_failed,tps_instant,tps_avg,poh_ticks,gpu_verif_per_sec,sealevel_executed
5.015,193890,190000,3890,37893.64,37883.60,1126000,38566,192320
10.032,378295,368594,9700,35598.35,36740.80,2356000,74466,373594
15.075,571028,566322,4645,39209.92,37566.75,3564000,112302,566322
20.110,769686,759440,10246,38355.10,37764.13,4964000,152813,768285
25.132,966412,959302,7109,39794.89,38169.94,6390000,191008,959302
30.152,1182282,1177161,5117,43401.54,39040.89,8012000,234512,1177161
35.162,1408152,1403605,4547,45196.38,39917.98,9524000,280148,1403605
40.180,1634324,1631514,2810,45419.57,40605.04,11115000,325436,1631514
45.232,1821708,1818087,3561,36929.46,40194.50,12292000,359864,1818087
50.253,1979842,1974958,4884,31247.14,39300.64,13649000,393391,1974958
55.308,2164573,2161560,3013,36909.47,39082.07,14997000,427551,2161560
