seq,ts_ns,module,key,value
29357824,7064341339009,btc_qm_engine,btc_sha256_nonce,4187555538.0000000000
29357825,7064341339404,btc_qm_engine,btc_leading_zeros,0.0000000000
29357826,7064341339750,btc_qm_engine,btc_sha256_elapsed_ns,4582.0000000000
29357827,7064341340435,btc_qm_engine,btc_orbital_scan_nonce,2148299730.0000000000
29357828,7064341341793,btc_qm_engine,btc_sha256_nonce,2148195142.0000000000
29357829,7064341342126,btc_qm_engine,btc_leading_zeros,0.0000000000
29357830,7064341342429,btc_qm_engine,btc_sha256_elapsed_ns,4626.0000000000
29357831,7064341343134,btc_qm_engine,btc_orbital_scan_nonce,2148264228.0000000000
29357832,7064341345614,btc_qm_engine,btc_sha256_nonce,2148299730.0000000000
29357833,7064341345980,btc_qm_engine,btc_leading_zeros,3.0000000000
29357834,7064341346319,btc_qm_engine,btc_sha256_elapsed_ns,4507.0000000000
29357835,7064341347095,btc_qm_engine,btc_orbital_scan_nonce,2148319195.0000000000
29357836,7064341347947,btc_qm_engine,btc_sha256_nonce,2148264228.0000000000
29357837,7064341348313,btc_qm_engine,btc_leading_zeros,1.0000000000
29357838,7064341348647,btc_qm_engine,btc_sha256_elapsed_ns,4209.0000000000
29357839,7064341352131,btc_qm_engine,btc_sha256_nonce,2148319195.0000000000
29357840,7064341352505,btc_qm_engine,btc_leading_zeros,1.0000000000
29357841,7064341352861,btc_qm_engine,btc_sha256_elapsed_ns,4375.0000000000
29357842,7064341353633,btc_qm_engine,btc_orbital_scan_nonce,2148312783.0000000000
29357843,7064341354106,btc_qm_engine,btc_sha256_nonce,96453165.0000000000
29357844,7064341354436,btc_qm_engine,btc_leading_zeros,1.0000000000
29357845,7064341354703,btc_qm_engine,btc_sha256_elapsed_ns,4411.0000000000
29357846,7064341355433,btc_qm_engine,btc_orbital_scan_nonce,2148298389.0000000000
29357847,7064341358676,btc_qm_engine,btc_sha256_nonce,2148312783.0000000000
29357848,7064341359011,btc_qm_engine,btc_leading_zeros,0.0000000000
29357849,7064341359272,btc_qm_engine,btc_sha256_elapsed_ns,4389.0000000000
29357850,7064341360051,btc_qm_engine,btc_orbital_scan_nonce,2148249745.0000000000
29357851,7064341362452,btc_qm_engine,btc_sha256_nonce,2148298389.0000000000
29357852,7064341363994,btc_qm_engine,btc_leading_zeros,2.0000000000
29357853,7064341364290,btc_qm_engine,btc_sha256_elapsed_ns,3944.0000000000
29357854,7064341365066,btc_qm_engine,btc_lebesgue_scan_nonce,27.0000000000
29357855,7064341366979,btc_qm_engine,btc_sha256_nonce,2148249745.0000000000
29357856,7064341367384,btc_qm_engine,btc_leading_zeros,0.0000000000
29357857,7064341367695,btc_qm_engine,btc_sha256_elapsed_ns,4710.0000000000
29357858,7064341368546,btc_qm_engine,btc_lebesgue_scan_nonce,4.0000000000
29357859,7064341370107,btc_qm_engine,btc_sha256_nonce,2148305603.0000000000
29357860,7064341370469,btc_qm_engine,btc_leading_zeros,0.0000000000
29357861,7064341370801,btc_qm_engine,btc_sha256_elapsed_ns,4369.0000000000
29357862,7064341371550,btc_qm_engine,btc_orbital_scan_nonce,2148321357.0000000000
29357863,7064341374122,btc_qm_engine,btc_sha256_nonce,2148094122.0000000000
29357864,7064341374455,btc_qm_engine,btc_leading_zeros,0.0000000000
29357865,7064341374775,btc_qm_engine,btc_sha256_elapsed_ns,4892.0000000000
29357866,7064341377052,btc_qm_engine,btc_sha256_nonce,2148321357.0000000000
29357867,7064341377373,btc_qm_engine,btc_leading_zeros,1.0000000000
29357868,7064341377727,btc_qm_engine,btc_sha256_elapsed_ns,4838.0000000000
29357869,7064341378519,btc_qm_engine,btc_orbital_scan_nonce,2148322043.0000000000
29357870,7064341380751,btc_qm_engine,btc_sha256_nonce,3002120061.0000000000
29357871,7064341381126,btc_qm_engine,btc_leading_zeros,0.0000000000
29357872,7064341381467,btc_qm_engine,btc_sha256_elapsed_ns,4787.0000000000
29357873,7064341384388,btc_qm_engine,btc_sha256_nonce,2148322043.0000000000
29357874,7064341384747,btc_qm_engine,btc_leading_zeros,0.0000000000
29357875,7064341385121,btc_qm_engine,btc_sha256_elapsed_ns,5156.0000000000
29357876,7064341387680,btc_qm_engine,btc_sha256_nonce,2297495489.0000000000
29357877,7064341388046,btc_qm_engine,btc_leading_zeros,1.0000000000
29357878,7064341388360,btc_qm_engine,btc_sha256_elapsed_ns,5034.0000000000
29357879,7064341389125,btc_qm_engine,btc_orbital_scan_nonce,2148311751.0000000000
29357880,7064341391507,btc_qm_engine,btc_sha256_nonce,2328783946.0000000000
29357881,7064341391877,btc_qm_engine,btc_leading_zeros,3.0000000000
29357882,7064341392215,btc_qm_engine,btc_sha256_elapsed_ns,5203.0000000000
29357883,7064341394949,btc_qm_engine,btc_sha256_nonce,2148311751.0000000000
29357884,7064341395291,btc_qm_engine,btc_leading_zeros,2.0000000000
29357885,7064341395627,btc_qm_engine,btc_sha256_elapsed_ns,5056.0000000000
29357886,7064341398115,btc_qm_engine,btc_sha256_nonce,3100687830.0000000000
29357887,7064341398481,btc_qm_engine,btc_leading_zeros,3.0000000000
29357888,7064341398846,btc_qm_engine,btc_sha256_elapsed_ns,4805.0000000000
29357889,7064341401830,btc_qm_engine,btc_sha256_nonce,277006538.0000000000
29357890,7064341402214,btc_qm_engine,btc_leading_zeros,0.0000000000
29357891,7064341402548,btc_qm_engine,btc_sha256_elapsed_ns,4982.0000000000
29357892,7064341403351,btc_qm_engine,btc_lebesgue_scan_nonce,12.0000000000
29357893,7064341403975,btc_qm_engine,btc_sha256_nonce,3138887487.0000000000
29357894,7064341404357,btc_qm_engine,btc_leading_zeros,0.0000000000
29357895,7064341404670,btc_qm_engine,btc_sha256_elapsed_ns,4151.0000000000
29357896,7064341408736,btc_qm_engine,btc_sha256_nonce,2148204400.0000000000
29357897,7064341409099,btc_qm_engine,btc_leading_zeros,1.0000000000
29357898,7064341409427,btc_qm_engine,btc_sha256_elapsed_ns,4688.0000000000
29357899,7064341410135,btc_qm_engine,btc_sha256_nonce,3728967870.0000000000
29357900,7064341411981,btc_qm_engine,btc_leading_zeros,2.0000000000
29357901,7064341412299,btc_qm_engine,btc_sha256_elapsed_ns,4270.0000000000
29357902,7064341414704,btc_qm_engine,btc_orbital_scan_nonce,2148329516.0000000000
