=== RAPPORT RÉSUMÉ FORENSIQUE ULTRA-STRICT v3.0 ===
Timestamp: 3229898574291 | Modules: 23

Hardware final: cpu_delta=100.00% mem_used=75.49% rss=7912KB peak=10400KB

  hubbard_hts_fullscale: metrics=0 ops=0 anomalies=0 mem=0
  fullscale_sim: metrics=0 ops=0 anomalies=0 mem=0
  simulate_fs: metrics=6557395 ops=372 anomalies=0 mem=0
  hubbard_hts_core: metrics=11 ops=0 anomalies=0 mem=0
  qcd_lattice_fullscale: metrics=10 ops=0 anomalies=0 mem=0
  quantum_field_noneq: metrics=10 ops=0 anomalies=0 mem=0
  dense_nuclear_fullscale: metrics=10 ops=0 anomalies=0 mem=0
  quantum_chemistry_fullscale: metrics=10 ops=0 anomalies=0 mem=0
  spin_liquid_exotic: metrics=10 ops=0 anomalies=0 mem=0
  topological_correlated_materials: metrics=10 ops=0 anomalies=0 mem=0
  correlated_fermions_non_hubbard: metrics=10 ops=0 anomalies=0 mem=0
  multi_state_excited_chemistry: metrics=10 ops=0 anomalies=0 mem=0
  bosonic_multimode_systems: metrics=10 ops=0 anomalies=0 mem=0
  multiscale_nonlinear_field_models: metrics=10 ops=0 anomalies=0 mem=0
  far_from_equilibrium_kinetic_lattices: metrics=10 ops=0 anomalies=0 mem=0
  multi_correlated_fermion_boson_networks: metrics=10 ops=0 anomalies=0 mem=0
  ed_validation_2x2: metrics=11 ops=0 anomalies=0 mem=0
  fermionic_sign_problem: metrics=9 ops=0 anomalies=0 mem=0
  random_circuit_sampling: metrics=9 ops=0 anomalies=0 mem=0
  benchmark_qmc_rt: metrics=10 ops=0 anomalies=0 mem=0
  benchmark_ext_rt: metrics=2 ops=0 anomalies=0 mem=0
  temporal_d2: metrics=0 ops=0 anomalies=489 mem=0
  trace:comparison_report: metrics=1 ops=0 anomalies=0 mem=0

Totaux: metrics=6557568 ops=372 anomalies=489

=== FIN RAPPORT RÉSUMÉ ===
