ts_ns,run_id,key,value
1777767605721410769,pqe_dryrun_20260503T002005Z,script_start,pqe_dryrun_20260503T002005Z
1777767605722338929,pqe_dryrun_20260503T002005Z,nx48_source,csv
1777767605722400659,pqe_dryrun_20260503T002005Z,nx48_exploration_bias,0.902
1777767605722463129,pqe_dryrun_20260503T002005Z,nx48_delta_nonce_scale,40.73
1777767605722518769,pqe_dryrun_20260503T002005Z,nx48_best_leading,38
1777767605722587029,pqe_dryrun_20260503T002005Z,nx48_update_count,2336
1777767605723100329,pqe_dryrun_20260503T002005Z,pre_measure_alpha2,0.023510329241390626
1777767605723269509,pqe_dryrun_20260503T002005Z,pre_measure_beta2,0.9764896707586094
1777767605723795678,pqe_dryrun_20260503T002005Z,observables_count,4
1777767605723873518,pqe_dryrun_20260503T002005Z,observable_S_pi,ZZ
1777767605724006478,pqe_dryrun_20260503T002005Z,observable_S_k_0,ZI
1777767605724134178,pqe_dryrun_20260503T002005Z,observable_S_k_1,IZ
1777767605724272708,pqe_dryrun_20260503T002005Z,observable_C_r_0_1,XX
1777767605724571328,pqe_dryrun_20260503T002005Z,pubs_total,4
1777767605724640488,pqe_dryrun_20260503T002005Z,pubs_dryrun,4
1777767605725722118,pqe_dryrun_20260503T002005Z,spsa_a,0.1
1777767605725846158,pqe_dryrun_20260503T002005Z,spsa_c,0.05
1777767605726271928,pqe_dryrun_20260503T002005Z,job_type,pure_python_dry_run
1777767605726409288,pqe_dryrun_20260503T002005Z,job_status,completed
1777767605726599378,pqe_dryrun_20260503T002005Z,job_duration_ms,0.07
1777767605727531157,pqe_dryrun_20260503T002005Z,result_pub0_ev,0.528071
1777767605727616307,pqe_dryrun_20260503T002005Z,result_pub0_std,0.023978
1777767605727963827,pqe_dryrun_20260503T002005Z,result_pub1_ev,0.081733
1777767605728083797,pqe_dryrun_20260503T002005Z,result_pub1_std,0.045174
1777767605728237977,pqe_dryrun_20260503T002005Z,result_pub2_ev,0.119152
1777767605728334227,pqe_dryrun_20260503T002005Z,result_pub2_std,0.015933
1777767605728505077,pqe_dryrun_20260503T002005Z,result_pub3_ev,0.218785
1777767605728595837,pqe_dryrun_20260503T002005Z,result_pub3_std,0.02167
1777767605728975027,pqe_dryrun_20260503T002005Z,script_end,success
1777767605729044377,pqe_dryrun_20260503T002005Z,total_duration_s,0.008
