23375 ioctl(6, DRM_IOCTL_VERSION, 0x7ffee2f8d0d0) = 0
23375 ioctl(6, DRM_IOCTL_I915_GETPARAM, 0x7ffee2f8d340) = 0
23375 ioctl(6, DRM_IOCTL_I915_GETPARAM, 0x7ffee2f8d340) = 0
23375 ioctl(6, DRM_IOCTL_I915_REG_READ, 0x7ffee2f8d2a0) = 0
23375 ioctl(6, DRM_IOCTL_I915_QUERY, 0x7ffee2f8d230) = 0
23375 ioctl(6, DRM_IOCTL_I915_QUERY, 0x7ffee2f8d230) = 0
23375 ioctl(6, DRM_IOCTL_I915_QUERY, 0x7ffee2f8d2a0) = 0
23375 ioctl(6, DRM_IOCTL_I915_GETPARAM, 0x7ffee2f8d370) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_CONTEXT_SETPARAM, 0x7ffee2f8d3c0) = -1 EINVAL (Invalid argument)
23375 ioctl(6, DRM_IOCTL_I915_QUERY, 0x7ffee2f8d2a0) = 0
23375 ioctl(6, DRM_IOCTL_I915_QUERY, 0x7ffee2f8d2a0) = 0
23375 ioctl(6, DRM_IOCTL_I915_QUERY, 0x7ffee2f8d210) = 0
23375 ioctl(6, DRM_IOCTL_I915_QUERY, 0x7ffee2f8d210) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_VM_CREATE, 0x7ffee2f8d340) = 0
23375 ioctl(6, DRM_IOCTL_I915_QUERY, 0x7ffee2f8caa0) = 0
23375 ioctl(6, DRM_IOCTL_I915_QUERY, 0x7ffee2f8caa0) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_CONTEXT_GETPARAM, 0x7ffee2f8cba0) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_CONTEXT_GETPARAM, 0x7ffee2f8cb90) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_CONTEXT_GETPARAM, 0x7ffee2f8cbb0) = 0
23375 ioctl(6, DRM_IOCTL_I915_GETPARAM, 0x7ffee2f8cb40) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_CONTEXT_GETPARAM, 0x7ffee2f8d420) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_CONTEXT_GETPARAM, 0x7ffee2f8d3e0) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_USERPTR <unfinished ...>
23375 ioctl(6, DRM_IOCTL_I915_GEM_CONTEXT_CREATE_EXT, 0x7ffee2f8d090) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_CONTEXT_SETPARAM, 0x7ffee2f8d0d0) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_CONTEXT_SETPARAM, 0x7ffee2f8d0d0) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_CONTEXT_SETPARAM, 0x7ffee2f8d020) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_CREATE_EXT, 0x7ffee2f8cb90) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_MMAP_OFFSET, 0x7ffee2f8ce60) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_CREATE_EXT, 0x7ffee2f8cd10) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_MMAP_OFFSET, 0x7ffee2f8cfe0) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_CREATE_EXT, 0x7ffee2f8cb90) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_MMAP_OFFSET, 0x7ffee2f8ce60) = 0
