event,timestamp_utc,timestamp_ns,pid,detail,value
INIT,2026-05-20T21:12:58Z,1546172443906,41829,activation,100PCT_INCONDITIONNELLE
INIT,2026-05-20T21:12:58Z,1546172443906,41829,modules_reels,ultra_forensic_logger_v3+memory_tracker
INIT,2026-05-20T21:12:58Z,1546172443906,41829,version,3.0_cycle17_NL03_NV01_NV02_AC01_NANO_ANOMALY_FIX_RAM01
HW_SAMPLE,2026-05-20T21:12:58Z,1546172443906,41829,init:cpu_delta_pct,0.0000
HW_SAMPLE,2026-05-20T21:12:58Z,1546172443906,41829,init:mem_used_pct,76.6280
HW_SAMPLE,2026-05-20T21:12:58Z,1546172443906,41829,init:mem_total_kb,7805420
HW_SAMPLE,2026-05-20T21:12:58Z,1546172443906,41829,init:mem_avail_kb,1824280
HW_SAMPLE,2026-05-20T21:12:58Z,1546172443906,41829,init:vm_rss_kb,4308
HW_SAMPLE,2026-05-20T21:12:58Z,1546172443906,41829,init:vm_peak_kb,10176
MODULE_START,2026-05-20T21:12:58Z,1546172772281,41829,btc_qm_engine,main_btc_mining
METRIC,2026-05-20T21:12:58Z,1546172780861,41829,btc_qm_engine:btc_run_mode_hash,84.0000000000
METRIC,2026-05-20T21:12:58Z,1546172857726,41829,btc_qm_engine:btc_module_version,17.0000000000
METRIC,2026-05-20T21:12:58Z,1546253640448,41829,btc_qm_engine:btc_nx48_c170_nx49_active,1.0000000000
METRIC,2026-05-20T21:12:58Z,1546674086795,41829,btc_qm_engine:btc_nx48_hw_avx_level,1.0000000000
METRIC,2026-05-20T21:12:58Z,1546674316145,41829,btc_qm_engine:btc_nx48_hw_sha_ni,0.0000000000
METRIC,2026-05-20T21:12:58Z,1546674434497,41829,btc_qm_engine:btc_nx48_hw_threads_max,8.0000000000
METRIC,2026-05-20T21:12:58Z,1546674566527,41829,btc_qm_engine:btc_nx48_hw_gpu_opencl,1.0000000000
METRIC,2026-05-20T21:12:58Z,1546674667110,41829,btc_qm_engine:btc_nx48_hw_ram_mb,1775.0000000000
METRIC,2026-05-20T21:12:58Z,1546674804600,41829,btc_qm_engine:btc_nx48_c61_init,1.0000000000
METRIC,2026-05-20T21:12:58Z,1546674927746,41829,btc_qm_engine:btc_nx48_n_subneurons,16.0000000000
METRIC,2026-05-20T21:12:58Z,1546675107246,41829,btc_qm_engine:btc_nx48_exploration_init,0.7000000000
METRIC,2026-05-20T21:12:58Z,1546675240574,41829,btc_qm_engine:btc_nx48_init_loaded,0.0000000000
METRIC,2026-05-20T21:12:58Z,1546679067673,41829,btc_qm_engine:btc_smaps_rss_kb,101192.0000000000
METRIC,2026-05-20T21:12:58Z,1546679366651,41829,btc_qm_engine:btc_smaps_anon_huge_kb,0.0000000000
METRIC,2026-05-20T21:12:58Z,1546679539305,41829,btc_qm_engine:btc_smaps_private_dirty,97428.0000000000
METRIC,2026-05-20T21:12:58Z,1546679709109,41829,btc_qm_engine:btc_smaps_page_count,25298.0000000000
METRIC,2026-05-20T21:12:58Z,1546679876297,41829,btc_qm_engine:btc_smaps_hugepage_count,0.0000000000
METRIC,2026-05-20T21:12:58Z,1546680434326,41829,btc_qm_engine:btc_c118q5_best_batch_size,2097152.0000000000
METRIC,2026-05-20T21:12:58Z,1546680644600,41829,btc_qm_engine:btc_c118q5_best_score,4.0633194304
METRIC,2026-05-20T21:12:58Z,1546680820893,41829,btc_qm_engine:btc_sha256_self_test_pass,1.0000000000
METRIC,2026-05-20T21:12:58Z,1546681030379,41829,btc_qm_engine:btc_wallet_create_start,1.0000000000
METRIC,2026-05-20T21:12:58Z,1546698786092,41829,btc_qm_engine:btc_wallet_created,1.0000000000
METRIC,2026-05-20T21:12:58Z,1546699179093,41829,btc_qm_engine:btc_wallet_create_ns,17754225.0000000000
METRIC,2026-05-20T21:12:58Z,1546699351341,41829,btc_qm_engine:btc_wallet_network,1.0000000000
METRIC,2026-05-20T21:12:58Z,1546699838207,41829,btc_qm_engine:btc_wallet_saved_json,1.0000000000
METRIC,2026-05-20T21:12:58Z,1546700077006,41829,btc_qm_engine:btc_sha256_self_test_pass,1.0000000000
METRIC,2026-05-20T21:12:58Z,1546700223366,41829,btc_qm_engine:btc_integrity_gate_pass,1.0000000000
METRIC,2026-05-20T21:12:58Z,1546701252440,41829,btc_qm_engine:btc_ram_available_mb_start,1774.0000000000
METRIC,2026-05-20T21:12:58Z,1546702166704,41829,btc_qm_engine:btc_alltime_seed_lz,26.0000000000
METRIC,2026-05-20T21:12:58Z,1546702398975,41829,btc_qm_engine:btc_alltime_seed_upd_count,9.0000000000
MODULE_START,2026-05-20T21:12:58Z,1546702574747,41829,btc_qm_engine,btc_engine_create
METRIC,2026-05-20T21:12:58Z,1546702603326,41829,btc_qm_engine:btc_n_replicas,256.0000000000
METRIC,2026-05-20T21:12:58Z,1546702742095,41829,btc_qm_engine:btc_n_threads,16.0000000000
METRIC,2026-05-20T21:12:58Z,1546702921925,41829,btc_qm_engine:btc_batch_size,2097152.0000000000
METRIC,2026-05-20T21:12:58Z,1546703106230,41829,btc_qm_engine:btc_nonce_start,0.0000000000
