=== IOCTL DRM_IOCTL_I915_GEM_EXECBUFFER2 ===
Aucun trouvé

=== IOCTL DRM_IOCTL_I915_GEM_SET_DOMAIN ===
Aucun trouvé

=== IOCTL DRM_IOCTL_I915_GEM_WAIT ===
Aucun trouvé

=== MMAP ===
61916 19:33:46.074802 mmap(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) = 0x7b76637d9000 <0.000076>
61916 19:33:46.075616 mmap(NULL, 75, PROT_READ|PROT_WRITE, MAP_PRIVATE, 3, 0) = 0x7b76637d8000 <0.000024>
61916 19:33:46.075937 mmap(NULL, 627144, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 3, 0) = 0x7b766373e000 <0.000034>
61916 19:33:46.076068 mmap(0x7b7663743000, 368640, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x5000) = 0x7b7663743000 <0.000026>
61916 19:33:46.076135 mmap(0x7b766379d000, 98304, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x5f000) = 0x7b766379d000 <0.000028>
61916 19:33:46.076201 mmap(0x7b76637b5000, 16384, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x77000) = 0x7b76637b5000 <0.000024>
61916 19:33:46.076269 mmap(0x7b76637b9000, 116904, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x7b76637b9000 <0.000024>
61916 19:33:46.076330 mmap(0x7b76637d6000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0xb4000) = 0x7b76637d6000 <0.000022>
61916 19:33:46.076635 mmap(NULL, 85103, PROT_READ, MAP_PRIVATE, 3, 0) = 0x7b7663729000 <0.000021>
61916 19:33:46.077141 mmap(NULL, 211240, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 3, 0) = 0x7b76636f5000 <0.000044>
61916 19:33:46.077236 mmap(0x7b7663703000, 77824, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0xe000) = 0x7b7663703000 <0.000046>
61916 19:33:46.077331 mmap(0x7b7663716000, 57344, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x21000) = 0x7b7663716000 <0.000031>
61916 19:33:46.077404 mmap(0x7b7663724000, 20480, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x2e000) = 0x7b7663724000 <0.000034>
61916 19:33:46.077956 mmap(NULL, 2170256, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 3, 0) = 0x7b7663400000 <0.000037>
61916 19:33:46.078034 mmap(0x7b7663428000, 1605632, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x28000) = 0x7b7663428000 <0.000046>
61916 19:33:46.078118 mmap(0x7b76635b0000, 323584, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x1b0000) = 0x7b76635b0000 <0.000029>
61916 19:33:46.078176 mmap(0x7b76635ff000, 24576, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x1fe000) = 0x7b76635ff000 <0.000028>
61916 19:33:46.078240 mmap(0x7b7663605000, 52624, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x7b7663605000 <0.000023>
61916 19:33:46.078345 mmap(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) = 0x7b76636f3000 <0.000021>
61917 19:33:46.082679 mmap(NULL, 262144, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) = 0x70cd410f7000 <0.000033>
