=== C398 SHA256 Minimal Test ===

Device: Intel(R) UHD Graphics 620
Kernel source: 5366 bytes
Building kernel...
Build successful!
Binary size: 63392 bytes
Binary saved to kernels/btc_sha256_c398.bin

Executing kernel with 256 threads...

Results:
  Thread   0: nonce=0 leading_zeros=2 result=0x00020000
  Thread   1: nonce=1 leading_zeros=5 result=0x00050001
  Thread   2: nonce=2 leading_zeros=0 result=0x00000002
  Thread   3: nonce=3 leading_zeros=0 result=0x00000003
  Thread   4: nonce=4 leading_zeros=0 result=0x00000004
  Thread   5: nonce=5 leading_zeros=0 result=0x00000005
  Thread   6: nonce=6 leading_zeros=3 result=0x00030006
  Thread   7: nonce=7 leading_zeros=0 result=0x00000007
  Thread   8: nonce=8 leading_zeros=4 result=0x00040008
  Thread   9: nonce=9 leading_zeros=2 result=0x00020009
  Thread  10: nonce=10 leading_zeros=2 result=0x0002000A
  Thread  12: nonce=12 leading_zeros=3 result=0x0003000C
  Thread  13: nonce=13 leading_zeros=1 result=0x0001000D
  Thread  14: nonce=14 leading_zeros=2 result=0x0002000E
  Thread  15: nonce=15 leading_zeros=2 result=0x0002000F
  Thread  16: nonce=16 leading_zeros=2 result=0x00020010
  Thread  17: nonce=17 leading_zeros=1 result=0x00010011
  Thread  18: nonce=18 leading_zeros=1 result=0x00010012
  Thread  19: nonce=19 leading_zeros=4 result=0x00040013
  Thread  23: nonce=23 leading_zeros=3 result=0x00030017
  Thread  24: nonce=24 leading_zeros=1 result=0x00010018
  Thread  25: nonce=25 leading_zeros=1 result=0x00010019
  Thread  26: nonce=26 leading_zeros=1 result=0x0001001A
  Thread  27: nonce=27 leading_zeros=1 result=0x0001001B
  Thread  31: nonce=31 leading_zeros=1 result=0x0001001F
  Thread  32: nonce=32 leading_zeros=3 result=0x00030020
  Thread  33: nonce=33 leading_zeros=1 result=0x00010021
  Thread  34: nonce=34 leading_zeros=1 result=0x00010022
  Thread  35: nonce=35 leading_zeros=2 result=0x00020023
  Thread  36: nonce=36 leading_zeros=1 result=0x00010024
  Thread  37: nonce=37 leading_zeros=5 result=0x00050025
  Thread  39: nonce=39 leading_zeros=1 result=0x00010027
  Thread  41: nonce=41 leading_zeros=4 result=0x00040029
  Thread  42: nonce=42 leading_zeros=3 result=0x0003002A
  Thread  43: nonce=43 leading_zeros=1 result=0x0001002B
  Thread  45: nonce=45 leading_zeros=1 result=0x0001002D
  Thread  47: nonce=47 leading_zeros=2 result=0x0002002F
  Thread  49: nonce=49 leading_zeros=2 result=0x00020031
  Thread  50: nonce=50 leading_zeros=2 result=0x00020032
  Thread  52: nonce=52 leading_zeros=1 result=0x00010034
  Thread  54: nonce=54 leading_zeros=2 result=0x00020036
  Thread  55: nonce=55 leading_zeros=1 result=0x00010037
  Thread  56: nonce=56 leading_zeros=2 result=0x00020038
  Thread  59: nonce=59 leading_zeros=2 result=0x0002003B
  Thread  60: nonce=60 leading_zeros=1 result=0x0001003C
  Thread  62: nonce=62 leading_zeros=1 result=0x0001003E
  Thread  63: nonce=63 leading_zeros=1 result=0x0001003F
  Thread  66: nonce=66 leading_zeros=2 result=0x00020042
  Thread  69: nonce=69 leading_zeros=1 result=0x00010045
  Thread  72: nonce=72 leading_zeros=1 result=0x00010048
  Thread  73: nonce=73 leading_zeros=1 result=0x00010049
  Thread  74: nonce=74 leading_zeros=3 result=0x0003004A
  Thread  75: nonce=75 leading_zeros=1 result=0x0001004B
  Thread  76: nonce=76 leading_zeros=1 result=0x0001004C
  Thread  77: nonce=77 leading_zeros=1 result=0x0001004D
  Thread  79: nonce=79 leading_zeros=2 result=0x0002004F
  Thread  81: nonce=81 leading_zeros=4 result=0x00040051
  Thread  84: nonce=84 leading_zeros=1 result=0x00010054
  Thread  88: nonce=88 leading_zeros=1 result=0x00010058
  Thread  89: nonce=89 leading_zeros=2 result=0x00020059
  Thread  90: nonce=90 leading_zeros=1 result=0x0001005A
  Thread  91: nonce=91 leading_zeros=4 result=0x0004005B
  Thread  92: nonce=92 leading_zeros=2 result=0x0002005C
  Thread  93: nonce=93 leading_zeros=5 result=0x0005005D
  Thread  96: nonce=96 leading_zeros=3 result=0x00030060
  Thread  97: nonce=97 leading_zeros=1 result=0x00010061
  Thread  98: nonce=98 leading_zeros=1 result=0x00010062
  Thread 100: nonce=100 leading_zeros=1 result=0x00010064
  Thread 103: nonce=103 leading_zeros=1 result=0x00010067
  Thread 104: nonce=104 leading_zeros=3 result=0x00030068
  Thread 105: nonce=105 leading_zeros=5 result=0x00050069
  Thread 106: nonce=106 leading_zeros=4 result=0x0004006A
  Thread 109: nonce=109 leading_zeros=1 result=0x0001006D
  Thread 110: nonce=110 leading_zeros=3 result=0x0003006E
  Thread 111: nonce=111 leading_zeros=5 result=0x0005006F
  Thread 113: nonce=113 leading_zeros=5 result=0x00050071
  Thread 115: nonce=115 leading_zeros=2 result=0x00020073
  Thread 116: nonce=116 leading_zeros=1 result=0x00010074
  Thread 120: nonce=120 leading_zeros=1 result=0x00010078
  Thread 122: nonce=122 leading_zeros=2 result=0x0002007A
  Thread 124: nonce=124 leading_zeros=1 result=0x0001007C
  Thread 126: nonce=126 leading_zeros=1 result=0x0001007E
  Thread 128: nonce=128 leading_zeros=2 result=0x00020080
  Thread 131: nonce=131 leading_zeros=1 result=0x00010083
  Thread 132: nonce=132 leading_zeros=1 result=0x00010084
  Thread 133: nonce=133 leading_zeros=1 result=0x00010085
  Thread 136: nonce=136 leading_zeros=1 result=0x00010088
  Thread 137: nonce=137 leading_zeros=1 result=0x00010089
  Thread 139: nonce=139 leading_zeros=1 result=0x0001008B
  Thread 141: nonce=141 leading_zeros=2 result=0x0002008D
  Thread 144: nonce=144 leading_zeros=3 result=0x00030090
  Thread 147: nonce=147 leading_zeros=1 result=0x00010093
  Thread 148: nonce=148 leading_zeros=3 result=0x00030094
  Thread 152: nonce=152 leading_zeros=4 result=0x00040098
  Thread 153: nonce=153 leading_zeros=1 result=0x00010099
  Thread 154: nonce=154 leading_zeros=1 result=0x0001009A
  Thread 158: nonce=158 leading_zeros=2 result=0x0002009E
  Thread 159: nonce=159 leading_zeros=1 result=0x0001009F
  Thread 161: nonce=161 leading_zeros=1 result=0x000100A1
  Thread 162: nonce=162 leading_zeros=4 result=0x000400A2
  Thread 163: nonce=163 leading_zeros=2 result=0x000200A3
  Thread 164: nonce=164 leading_zeros=1 result=0x000100A4
  Thread 167: nonce=167 leading_zeros=1 result=0x000100A7
  Thread 169: nonce=169 leading_zeros=1 result=0x000100A9
  Thread 170: nonce=170 leading_zeros=1 result=0x000100AA
  Thread 171: nonce=171 leading_zeros=1 result=0x000100AB
  Thread 176: nonce=176 leading_zeros=2 result=0x000200B0
  Thread 177: nonce=177 leading_zeros=1 result=0x000100B1
  Thread 181: nonce=181 leading_zeros=2 result=0x000200B5
  Thread 184: nonce=184 leading_zeros=3 result=0x000300B8
  Thread 185: nonce=185 leading_zeros=1 result=0x000100B9
  Thread 186: nonce=186 leading_zeros=1 result=0x000100BA
  Thread 188: nonce=188 leading_zeros=2 result=0x000200BC
  Thread 189: nonce=189 leading_zeros=1 result=0x000100BD
  Thread 190: nonce=190 leading_zeros=1 result=0x000100BE
  Thread 192: nonce=192 leading_zeros=1 result=0x000100C0
  Thread 194: nonce=194 leading_zeros=3 result=0x000300C2
