test_num,batch_size,multiplier,dispatches,status,hashrate_mhs,time_sec,notes
1,50000,2.5,100,SUCCESS,0,0,OK
2,100000,5.0,100,SUCCESS,10.00,1,OK
3,500000,25.0,100,SUCCESS,50.00,1,OK
4,1000000,50.0,100,SUCCESS,0,0,OK
5,10000000,500.0,100,SUCCESS,1000.00,1,OK
6,50000000,2500.0,100,SUCCESS,5000.00,1,OK
7,100000000,5000.0,100,SUCCESS,10000.00,1,OK
8,286331153,14316.5,100,SUCCESS,0,0,OK
9,500000000,25000.0,100,SUCCESS,0,0,OK
10,1000000000,50000.0,100,SUCCESS,100000.00,1,OK
11,2000000000,100000.0,100,SUCCESS,0,0,OK
12,4000000000,200000.0,100,SUCCESS,0,0,OK
