 Freq MHz      IRQ RC6     Power W     IMC MiB/s             RCS             BCS             VCS            VECS 
 req  act       /s   %   gpu   pkg     rd     wr       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
  69   69      874  42  0.28 10.05   3448    936   23.83   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   8    8      767  51  0.22  9.15   2624    519   13.87   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  55   55      724  48  0.24  4.15   2850    575   17.71   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  42   42      740  57  0.19 11.02   4079    810   13.09   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 117  117      772  41  0.34 17.07   6929   1463   29.79   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  53   53      843  46  0.26  6.86   3193    832   20.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  95   95      712  56  0.27  5.66   3824    562   12.84   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  58   58      873  48  0.25  6.35   2736    685   19.18   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 108  108      772  36  0.37  5.11   3391   1074   31.35   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 146  146      821  36  0.37  6.20   3586   1287   31.96   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 105  105      773  45  0.29  5.22   2525    845   25.23   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  27   27      789  51  0.26 13.07   3762   1059   19.42   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  83   83      759  42  0.32  8.41   3121    967   25.84   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  31   31      722  50  0.22  4.78   1979    515   16.03   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  62   62      666  61  0.21  7.01   2268    330   11.05   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 132  132      647  58  0.79  9.72   3854   1114   21.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 237  237      661  56  0.94  6.74   2596    946   23.06   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 125  125      673  58  0.65  9.31   3148    979   22.38   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 206  206      713  54  0.97 10.52   3582   1126   21.76   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
