# tracer: nop
#
# entries-in-buffer/entries-written: 6493/6493   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
     kworker/7:0-83001   [007] ..... 11183.220651: i915_request_retire: dev=1, engine=0:0, ctx=5, seqno=714739, tail=2584
     gnome-shell-14986   [003] ..... 11183.223969: i915_request_queue: dev=1, engine=0:0, ctx=30, seqno=1685146, flags=0x0
     gnome-shell-14986   [003] ..... 11183.223970: i915_request_add: dev=1, engine=0:0, ctx=30, seqno=1685146, tail=3536
     gnome-shell-14986   [003] ..... 11183.224137: i915_request_queue: dev=1, engine=0:0, ctx=30, seqno=1685148, flags=0x0
     gnome-shell-14986   [003] ..... 11183.224138: i915_request_add: dev=1, engine=0:0, ctx=30, seqno=1685148, tail=3400
   kworker/u33:1-57411   [003] d.h3. 11183.224573: i915_reg_rw: write reg=0x20a8, len=4, val=(0xfffff6f6, 0x0)
   kworker/u33:1-57411   [003] ..... 11183.224581: i915_request_wait_begin: dev=1, engine=0:0, ctx=30, seqno=1685146, flags=0x2
         systemd-14012   [007] d.h2. 11183.225592: i915_reg_rw: write reg=0x20a8, len=4, val=(0xfffff6f7, 0x0)
     kworker/7:0-83001   [007] ..... 11183.225630: i915_request_retire: dev=1, engine=0:0, ctx=30, seqno=1685146, tail=1840
     kworker/7:0-83001   [007] ..... 11183.225633: i915_request_retire: dev=1, engine=0:0, ctx=30, seqno=1685148, tail=2024
   kworker/u33:1-57411   [003] ..... 11183.225714: i915_request_wait_end: dev=1, engine=0:0, ctx=30, seqno=1685146, tail=1840
   kworker/u33:1-57411   [003] ..... 11183.225734: intel_plane_update_noarm: dev 0000:00:02.0, pipe A, plane 1A, frame=671564, scanline=855, format=XR30 little-endian (0x30335258), 1920.000000x1080.000000+0.000000+0.000000 -> 1920x1080+0+0
   kworker/u33:1-57411   [003] ...2. 11183.225735: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4c, 0x0)
   kworker/u33:1-57411   [003] d..3. 11183.225736: i915_reg_rw: read reg=0x70000, len=4, val=(0x356, 0x0)
   kworker/u33:1-57411   [003] ..... 11183.225738: i915_reg_rw: write reg=0x70188, len=4, val=(0xf, 0x0)
   kworker/u33:1-57411   [003] ..... 11183.225738: i915_reg_rw: write reg=0x7018c, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [003] ..... 11183.225738: i915_reg_rw: write reg=0x70190, len=4, val=(0x437077f, 0x0)
   kworker/u33:1-57411   [003] ..... 11183.225740: i915_reg_rw: write reg=0x70240, len=4, val=(0x80000016, 0x0)
   kworker/u33:1-57411   [003] ..... 11183.225740: i915_reg_rw: write reg=0x70244, len=4, val=(0x8000c02b, 0x0)
   kworker/u33:1-57411   [003] ..... 11183.225740: i915_reg_rw: write reg=0x70248, len=4, val=(0x8000c02f, 0x0)
   kworker/u33:1-57411   [003] ..... 11183.225741: i915_reg_rw: write reg=0x7024c, len=4, val=(0x8001003b, 0x0)
   kworker/u33:1-57411   [003] ..... 11183.225741: i915_reg_rw: write reg=0x70250, len=4, val=(0x8001805c, 0x0)
   kworker/u33:1-57411   [003] ..... 11183.225742: i915_reg_rw: write reg=0x70254, len=4, val=(0x8001c06b, 0x0)
   kworker/u33:1-57411   [003] ..... 11183.225742: i915_reg_rw: write reg=0x70258, len=4, val=(0x8001c06b, 0x0)
   kworker/u33:1-57411   [003] ..... 11183.225743: i915_reg_rw: write reg=0x7025c, len=4, val=(0x8002007a, 0x0)
   kworker/u33:1-57411   [003] ..... 11183.225743: i915_reg_rw: write reg=0x70268, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [003] ..... 11183.225744: i915_reg_rw: write reg=0x7027c, len=4, val=(0x35b0000, 0x0)
   kworker/u33:1-57411   [003] ..... 11183.225744: i915_reg_rw: write reg=0x70278, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [003] d.... 11183.225748: intel_pipe_update_start: dev 0000:00:02.0, pipe A, frame=671564, scanline=856, min=1073, max=1079
   kworker/u33:1-57411   [003] d..2. 11183.225749: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4c, 0x0)
   kworker/u33:1-57411   [003] d..3. 11183.225749: i915_reg_rw: read reg=0x70000, len=4, val=(0x357, 0x0)
   kworker/u33:1-57411   [003] d..1. 11183.225750: i915_reg_rw: read reg=0x70000, len=4, val=(0x357, 0x0)
   kworker/u33:1-57411   [003] d.... 11183.225751: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4c, 0x0)
   kworker/u33:1-57411   [003] d.... 11183.225752: intel_pipe_update_vblank_evaded: dev 0000:00:02.0, pipe A, frame=671564, scanline=856, min=1073, max=1079
   kworker/u33:1-57411   [003] d.... 11183.225754: i915_reg_rw: write reg=0x70030, len=4, val=(0x50, 0x0)
   kworker/u33:1-57411   [003] d.... 11183.225756: intel_plane_update_arm: dev 0000:00:02.0, pipe A, plane 1A, frame=671564, scanline=857, format=XR30 little-endian (0x30335258), 1920.000000x1080.000000+0.000000+0.000000 -> 1920x1080+0+0
   kworker/u33:1-57411   [003] d..2. 11183.225757: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4c, 0x0)
   kworker/u33:1-57411   [003] d..3. 11183.225757: i915_reg_rw: read reg=0x70000, len=4, val=(0x358, 0x0)
   kworker/u33:1-57411   [003] d.... 11183.225759: i915_reg_rw: write reg=0x70194, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [003] d.... 11183.225759: i915_reg_rw: write reg=0x70198, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [003] d.... 11183.225759: i915_reg_rw: write reg=0x701a0, len=4, val=(0xff000000, 0x0)
   kworker/u33:1-57411   [003] d.... 11183.225760: i915_reg_rw: write reg=0x701a4, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [003] d.... 11183.225760: i915_reg_rw: write reg=0x701c0, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [003] d.... 11183.225761: i915_reg_rw: write reg=0x701c4, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [003] d.... 11183.225761: i915_reg_rw: write reg=0x70180, len=4, val=(0xc2042400, 0x0)
   kworker/u33:1-57411   [003] d.... 11183.225762: i915_reg_rw: write reg=0x7019c, len=4, val=(0x3300000, 0x0)
   kworker/u33:1-57411   [003] d.... 11183.225764: intel_scaler_disable_arm: dev 0000:00:02.0, pipe A, scaler 0, frame=671564, scanline=857
   kworker/u33:1-57411   [003] d..2. 11183.225764: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4c, 0x0)
