ts_ns,ts_iso,module,level,msg,val,src,cycle
1776700531213927789,2026-04-20T15:55:31.213930+00:00,ibm_connect,INFO,Connecté — 3 backends — latence=3908.4ms,3908.436022,,C65
1776700531213966909,2026-04-20T15:55:31.213967+00:00,qdayprize_156q,INFO,══ QDAYPRIZE 156Q C65 ══ shots=2048 ZNE=False fake=False,,,C65
1776700531692986981,2026-04-20T15:55:31.692989+00:00,ibm_backend,INFO,Backend sélectionné : ibm_fez (156Q),156.0,,C65
1776700531693400451,2026-04-20T15:55:31.693401+00:00,ibm_calib,INFO,Calibration ibm_fez 156Q : T1=250.0µs T2=180.0µs gate2Q=0.0025,0.0025,,C65
1776700531696054991,2026-04-20T15:55:31.696056+00:00,nx_atom,METRIC,NX ATOM : coherence=0.0872 correction_bias=0.1500 correction_shots=234,0.08724730458076252,ibm_quantum_runner_c65.py,C65
1776700531696070281,2026-04-20T15:55:31.696070+00:00,qdayprize_156q,INFO,Circuit QDAYPRIZE 156Q : ancilla=154 cibles=2 total=156Q,156.0,,C65
1776700531763813560,2026-04-20T15:55:31.763816+00:00,qdayprize_156q,INFO,QDAYPRIZE 156Q construit : 156Q depth=158 résolution=2^154 (space-facteur=4.61e+18),158.0,,C65
1776700533921311042,2026-04-20T15:55:33.921315+00:00,qdayprize_156q,METRIC,Transpilation 158→6446 depth | 14007 portes 2Q | 1768ms,6446.0,,C65
1776700549444015112,2026-04-20T15:55:49.444019+00:00,qdayprize_156q,METRIC,Exécution 2282 shots → 2282 états | 15523ms,15522.53095,,C65
1776700549754957436,2026-04-20T15:55:49.754961+00:00,qdayprize_156q,INFO,QDAYPRIZE 156Q terminé → qdayprize156_qdpr_156q_c65_20260420T155525Z.json | success=0.0004 SNR=1.00,0.00043821209465381246,,C65
