event,timestamp_utc,timestamp_ns,pid,detail,value
INIT,2026-04-16T15:58:15Z,11266324286667,134133,activation,100PCT_INCONDITIONNELLE
INIT,2026-04-16T15:58:15Z,11266324286667,134133,modules_reels,ultra_forensic_logger_v3+memory_tracker
INIT,2026-04-16T15:58:15Z,11266324286667,134133,version,3.0_cycle17_NL03_NV01_NV02_AC01_NANO_ANOMALY_FIX_RAM01
HW_SAMPLE,2026-04-16T15:58:15Z,11266324286667,134133,init:cpu_delta_pct,0.0000
HW_SAMPLE,2026-04-16T15:58:15Z,11266324286667,134133,init:mem_used_pct,74.0180
HW_SAMPLE,2026-04-16T15:58:15Z,11266324286667,134133,init:mem_total_kb,7805424
HW_SAMPLE,2026-04-16T15:58:15Z,11266324286667,134133,init:mem_avail_kb,2028004
HW_SAMPLE,2026-04-16T15:58:15Z,11266324286667,134133,init:vm_rss_kb,4132
HW_SAMPLE,2026-04-16T15:58:15Z,11266324286667,134133,init:vm_peak_kb,14552
MODULE_START,2026-04-16T15:58:15Z,11266324749480,134133,btc_qm_engine,main_btc_mining
METRIC,2026-04-16T15:58:15Z,11266324758067,134133,btc_qm_engine:btc_run_mode_hash,66.0000000000
METRIC,2026-04-16T15:58:15Z,11266324841771,134133,btc_qm_engine:btc_module_version,17.0000000000
METRIC,2026-04-16T15:58:15Z,11266324964588,134133,btc_qm_engine:btc_nx48_csv_loaded_c43_dual,1.0000000000
METRIC,2026-04-16T15:58:15Z,11266325029310,134133,btc_qm_engine:btc_nx48_csv_loaded,1.0000000000
METRIC,2026-04-16T15:58:15Z,11266325076642,134133,btc_qm_engine:btc_nx48_best_leading_loaded,28.0000000000
METRIC,2026-04-16T15:58:15Z,11266325191519,134133,btc_qm_engine:btc_nx48_init_loaded,1.0000000000
METRIC,2026-04-16T15:58:15Z,11266325243340,134133,btc_qm_engine:btc_nx48_delta_nonce_scale,50.0000000000
METRIC,2026-04-16T15:58:15Z,11266325292412,134133,btc_qm_engine:btc_nx48_n_replicas_scale,1.0000000000
METRIC,2026-04-16T15:58:15Z,11266325339598,134133,btc_qm_engine:btc_nx48_swap_temp_scale,1.0000000000
METRIC,2026-04-16T15:58:15Z,11266325386850,134133,btc_qm_engine:btc_nx48_batch_size_scale,4.0000000000
METRIC,2026-04-16T15:58:15Z,11266325433891,134133,btc_qm_engine:btc_nx48_exploration_bias,0.9722270000
METRIC,2026-04-16T15:58:15Z,11266325481233,134133,btc_qm_engine:btc_nx48_neuron_count,2.0000000000
METRIC,2026-04-16T15:58:15Z,11266325535102,134133,btc_qm_engine:btc_sha256_self_test_pass,1.0000000000
METRIC,2026-04-16T15:58:15Z,11266325588097,134133,btc_qm_engine:btc_wallet_create_start,1.0000000000
METRIC,2026-04-16T15:58:15Z,11266329840388,134133,btc_qm_engine:btc_wallet_created,1.0000000000
METRIC,2026-04-16T15:58:15Z,11266330254013,134133,btc_qm_engine:btc_wallet_create_ns,4249580.0000000000
METRIC,2026-04-16T15:58:15Z,11266330364155,134133,btc_qm_engine:btc_wallet_network,1.0000000000
METRIC,2026-04-16T15:58:15Z,11266330746670,134133,btc_qm_engine:btc_wallet_saved_json,1.0000000000
METRIC,2026-04-16T15:58:15Z,11266330838130,134133,btc_qm_engine:btc_sha256_self_test_pass,1.0000000000
