event,timestamp_utc,timestamp_ns,pid,detail,value
INIT,2026-04-17T21:32:29Z,54309880602840,225,activation,100PCT_INCONDITIONNELLE
INIT,2026-04-17T21:32:29Z,54309880602840,225,modules_reels,ultra_forensic_logger_v3+memory_tracker
INIT,2026-04-17T21:32:29Z,54309880602840,225,version,3.0_cycle17_NL03_NV01_NV02_AC01_NANO_ANOMALY_FIX_RAM01
HW_SAMPLE,2026-04-17T21:32:29Z,54309880602840,225,init:cpu_delta_pct,0.0000
HW_SAMPLE,2026-04-17T21:32:29Z,54309880602840,225,init:mem_used_pct,85.2603
HW_SAMPLE,2026-04-17T21:32:29Z,54309880602840,225,init:mem_total_kb,65849796
HW_SAMPLE,2026-04-17T21:32:29Z,54309880602840,225,init:mem_avail_kb,9706032
HW_SAMPLE,2026-04-17T21:32:29Z,54309880602840,225,init:vm_rss_kb,3852
HW_SAMPLE,2026-04-17T21:32:29Z,54309880602840,225,init:vm_peak_kb,14732
MODULE_START,2026-04-17T21:32:29Z,54309882694420,225,btc_qm_engine,main_btc_mining
METRIC,2026-04-17T21:32:29Z,54309882717320,225,btc_qm_engine:btc_run_mode_hash,85.0000000000
METRIC,2026-04-17T21:32:29Z,54309883230280,225,btc_qm_engine:btc_module_version,17.0000000000
METRIC,2026-04-17T21:32:29Z,54309883345980,225,btc_qm_engine:btc_nx48_csv_loaded_c43_dual,1.0000000000
METRIC,2026-04-17T21:32:29Z,54309883379750,225,btc_qm_engine:btc_nx48_csv_loaded,1.0000000000
METRIC,2026-04-17T21:32:29Z,54309883406230,225,btc_qm_engine:btc_nx48_best_leading_loaded,28.0000000000
METRIC,2026-04-17T21:32:29Z,54309883468860,225,btc_qm_engine:btc_nx48_init_loaded,1.0000000000
METRIC,2026-04-17T21:32:29Z,54309883498940,225,btc_qm_engine:btc_nx48_delta_nonce_scale,50.0000000000
METRIC,2026-04-17T21:32:29Z,54309883526060,225,btc_qm_engine:btc_nx48_n_replicas_scale,1.0000000000
METRIC,2026-04-17T21:32:29Z,54309883554260,225,btc_qm_engine:btc_nx48_swap_temp_scale,1.0000000000
METRIC,2026-04-17T21:32:29Z,54309883580470,225,btc_qm_engine:btc_nx48_batch_size_scale,4.0000000000
METRIC,2026-04-17T21:32:29Z,54309883608630,225,btc_qm_engine:btc_nx48_exploration_bias,0.8934290000
METRIC,2026-04-17T21:32:29Z,54309883637730,225,btc_qm_engine:btc_nx48_neuron_count,2.0000000000
METRIC,2026-04-17T21:32:29Z,54309883675230,225,btc_qm_engine:btc_sha256_self_test_pass,1.0000000000
METRIC,2026-04-17T21:32:29Z,54309883711040,225,btc_qm_engine:btc_wallet_create_start,1.0000000000
METRIC,2026-04-17T21:32:29Z,54310027095317,225,btc_qm_engine:btc_wallet_created,1.0000000000
METRIC,2026-04-17T21:32:29Z,54310027182057,225,btc_qm_engine:btc_wallet_create_ns,143383637.0000000000
METRIC,2026-04-17T21:32:29Z,54310027213407,225,btc_qm_engine:btc_wallet_network,1.0000000000
METRIC,2026-04-17T21:32:29Z,54310027404937,225,btc_qm_engine:btc_wallet_saved_json,1.0000000000
METRIC,2026-04-17T21:32:29Z,54310027447067,225,btc_qm_engine:btc_sha256_self_test_pass,1.0000000000
METRIC,2026-04-17T21:32:29Z,54310027475977,225,btc_qm_engine:btc_integrity_gate_pass,1.0000000000
METRIC,2026-04-17T21:32:29Z,54310027652917,225,btc_qm_engine:btc_ram_available_mb_start,9458.0000000000
MODULE_START,2026-04-17T21:32:29Z,54310027695587,225,btc_qm_engine,btc_engine_create
METRIC,2026-04-17T21:32:29Z,54310027707427,225,btc_qm_engine:btc_n_replicas,8.0000000000
METRIC,2026-04-17T21:32:29Z,54310027733537,225,btc_qm_engine:btc_n_threads,2.0000000000
METRIC,2026-04-17T21:32:29Z,54310027761657,225,btc_qm_engine:btc_batch_size,512.0000000000
METRIC,2026-04-17T21:32:29Z,54310027790987,225,btc_qm_engine:btc_nonce_start,0.0000000000
METRIC,2026-04-17T21:32:29Z,54310027819547,225,btc_qm_engine:btc_nonce_end,4294967295.0000000000
METRIC,2026-04-17T21:32:29Z,54310027846597,225,btc_qm_engine:btc_duration_s,0.0000000000
METRIC,2026-04-17T21:32:29Z,54310027872468,225,btc_qm_engine:btc_replica_idx,0.0000000000
METRIC,2026-04-17T21:32:29Z,54310027899808,225,btc_qm_engine:btc_replica_nonce,0.0000000000
METRIC,2026-04-17T21:32:29Z,54310027927048,225,btc_qm_engine:btc_replica_temp,1.0000000000
METRIC,2026-04-17T21:32:29Z,54310027952168,225,btc_qm_engine:btc_replica_leading,0.0000000000
METRIC,2026-04-17T21:32:29Z,54310027980028,225,btc_qm_engine:btc_replica_idx,1.0000000000
METRIC,2026-04-17T21:32:29Z,54310028041828,225,btc_qm_engine:btc_replica_nonce,536870911.0000000000
METRIC,2026-04-17T21:32:29Z,54310028081598,225,btc_qm_engine:btc_replica_temp,2.0000000000
