module,n_sites_scale,n_replicas_scale,temp_K_scale,U_eV_scale,t_eV_scale,dt_scale,mu_eV_scale,T_ratio_scale
hubbard_hts_core,1.152328,1.500000,1.000000,1.009615,1.000000,1.000000,1.000000,1.100000
qcd_lattice_fullscale,1.155633,1.505893,0.990000,0.986553,0.999589,0.997944,0.999561,1.104714
quantum_field_noneq,1.155360,1.511238,0.990000,1.022468,0.999838,0.999190,0.998344,1.108990
dense_nuclear_fullscale,1.153489,1.517125,0.990000,0.982420,0.999423,0.997117,0.998029,1.113700
quantum_chemistry_fullscale,1.153019,1.523309,0.990000,1.029085,0.999448,0.997239,0.995636,1.118647
spin_liquid_exotic,1.141158,1.529695,0.990000,0.992118,0.999849,0.999246,0.995261,1.123756
topological_correlated_materials,1.139464,1.535120,0.990000,1.014039,0.999753,0.998765,0.993929,1.128096
correlated_fermions_non_hubbard,1.140857,1.541397,0.990000,1.013667,0.999736,0.998680,0.993102,1.133118
multi_state_excited_chemistry,1.141120,1.548136,0.990000,1.026726,0.999923,0.999616,0.990906,1.138508
bosonic_multimode_systems,1.138923,1.551596,0.990000,1.006378,0.999711,0.998553,0.994229,1.141277
multiscale_nonlinear_field_models,1.134574,1.559211,0.990000,1.016585,0.999613,0.998066,0.990372,1.147369
far_from_equilibrium_kinetic_lattices,1.133233,1.562908,0.990000,1.009609,0.999843,0.999217,0.991690,1.150327
multi_correlated_fermion_boson_networks,1.131089,1.569714,0.990000,1.014257,0.999933,0.999665,0.988922,1.155771
ed_validation_2x2,1.192905,1.571322,0.990000,1.029039,0.981846,0.909229,0.987095,1.157057
fermionic_sign_problem,1.131188,1.583501,0.990000,0.980202,0.983032,0.915158,0.985081,1.166801
random_circuit_sampling,1.074772,1.590804,0.990000,1.039583,0.997988,0.989940,0.988392,1.172643
