event,timestamp_utc,timestamp_ns,pid,detail,value
INIT,2026-04-23T20:50:17Z,30487855261206,1215,activation,100PCT_INCONDITIONNELLE
INIT,2026-04-23T20:50:17Z,30487855261206,1215,modules_reels,ultra_forensic_logger_v3+memory_tracker
INIT,2026-04-23T20:50:17Z,30487855261206,1215,version,3.0_cycle17_NL03_NV01_NV02_AC01_NANO_ANOMALY_FIX_RAM01
HW_SAMPLE,2026-04-23T20:50:17Z,30487855261206,1215,init:cpu_delta_pct,0.0000
HW_SAMPLE,2026-04-23T20:50:17Z,30487855261206,1215,init:mem_used_pct,91.6748
HW_SAMPLE,2026-04-23T20:50:17Z,30487855261206,1215,init:mem_total_kb,65847768
HW_SAMPLE,2026-04-23T20:50:17Z,30487855261206,1215,init:mem_avail_kb,5481976
HW_SAMPLE,2026-04-23T20:50:17Z,30487855261206,1215,init:vm_rss_kb,2544
HW_SAMPLE,2026-04-23T20:50:17Z,30487855261206,1215,init:vm_peak_kb,9044
THREAD,2026-04-23T20:50:17Z,30487877301715,1215,simulate_adv:tid_record_START,139946600773312
THREAD,2026-04-23T20:50:17Z,30487877449445,1215,simulate_adv:tid_record_START,139946592380608
ALGO,2026-04-23T20:50:17Z,30487877448325,1215,simulate_adv:conv_K_pair_scale_inv:in,95.0000000000
ALGO,2026-04-23T20:50:17Z,30487877598965,1215,simulate_adv:conv_K_pair_scale_inv:in,140.0000000000
THREAD,2026-04-23T20:50:17Z,30487877915525,1215,simulate_adv:tid_record_START,139946583987904
ALGO,2026-04-23T20:50:17Z,30487878102745,1215,simulate_adv:conv_K_pair_scale_inv:out,11.9047619048
ALGO,2026-04-23T20:50:17Z,30487878171305,1215,simulate_adv:conv_K_pair_scale_inv:in,180.0000000000
ALGO,2026-04-23T20:50:17Z,30487877888645,1215,simulate_adv:conv_K_pair_scale_inv:out,3.5185185185
ALGO,2026-04-23T20:50:17Z,30487878461925,1215,simulate_adv:conv_K_pair_scale_inv:out,3.4516765286
ALGO,2026-04-23T20:50:17Z,30487878399295,1215,simulate_adv:T_star_K_dynamic,11.7600000000
ALGO,2026-04-23T20:50:17Z,30487878772975,1215,simulate_adv:T_star_K_dynamic,52.1485714286
ALGO,2026-04-23T20:50:17Z,30487878872195,1215,simulate_adv:T_star_K_formula_t2_over_U,0.0544444444
ALGO,2026-04-23T20:50:17Z,30487878791615,1215,simulate_adv:T_star_K_dynamic,27.0000000000
