event,timestamp_utc,timestamp_ns,pid,detail,value
INIT,2026-03-27T20:01:22Z,3868412754293,2668,activation,100PCT_INCONDITIONNELLE
INIT,2026-03-27T20:01:22Z,3868412754293,2668,modules_reels,ultra_forensic_logger_v3+memory_tracker
INIT,2026-03-27T20:01:22Z,3868412754293,2668,version,3.0_cycle17_NL03_NV01_NV02_AC01_NANO_ANOMALY
HW_SAMPLE,2026-03-27T20:01:22Z,3868412754293,2668,init:cpu_delta_pct,0.0000
HW_SAMPLE,2026-03-27T20:01:22Z,3868412754293,2668,init:mem_used_pct,74.7492
HW_SAMPLE,2026-03-27T20:01:22Z,3868412754293,2668,init:mem_total_kb,65849792
HW_SAMPLE,2026-03-27T20:01:22Z,3868412754293,2668,init:mem_avail_kb,16627612
HW_SAMPLE,2026-03-27T20:01:22Z,3868412754293,2668,init:vm_rss_kb,2368
HW_SAMPLE,2026-03-27T20:01:22Z,3868412754293,2668,init:vm_peak_kb,8860
MODULE_START,2026-03-27T20:01:22Z,3868415914890,2668,hubbard_hts_fullscale,main_campaign
MODULE_START,2026-03-27T20:01:22Z,3868416675255,2668,simulate_fs,hubbard_hts_core
METRIC,2026-03-27T20:01:22Z,3868416705385,2668,simulate_fs:sites,196.0000000000
METRIC,2026-03-27T20:01:22Z,3868416754665,2668,simulate_fs:steps,14000.0000000000
METRIC,2026-03-27T20:01:22Z,3868416789615,2668,simulate_fs:temp_K,95.0000000000
METRIC,2026-03-27T20:01:22Z,3868416825796,2668,simulate_fs:U_eV,8.0000000000
METRIC,2026-03-27T20:01:22Z,3868416892296,2668,simulate_fs:local_pair_site0_step0,0.6738128867
METRIC,2026-03-27T20:01:22Z,3868416928446,2668,simulate_fs:d_site0_step0,-0.1122071196
METRIC,2026-03-27T20:01:22Z,3868416980516,2668,simulate_fs:step_pairing_norm_step0,0.7842817982
METRIC,2026-03-27T20:01:22Z,3868417034817,2668,simulate_fs:step_energy_norm_step0,1.9871614649
MODULE_END,2026-03-27T20:01:33Z,3878688826563,2668,simulate_fs:hubbard_hts_core,10272151308
METRIC,2026-03-27T20:01:33Z,3878688875633,2668,simulate_fs:pairing_final,0.7515263924
METRIC,2026-03-27T20:01:33Z,3878688913293,2668,simulate_fs:energy_final_eV,1.9922023950
METRIC,2026-03-27T20:01:33Z,3878688945743,2668,simulate_fs:sign_ratio_final,0.3061224490
METRIC,2026-03-27T20:01:33Z,3878688977643,2668,simulate_fs:elapsed_ns,10272178988.0000000000
MODULE_START,2026-03-27T20:01:33Z,3878689050614,2668,simulate_fs,qcd_lattice_fullscale
METRIC,2026-03-27T20:01:33Z,3878689075484,2668,simulate_fs:sites,144.0000000000
METRIC,2026-03-27T20:01:33Z,3878689117034,2668,simulate_fs:steps,11000.0000000000
METRIC,2026-03-27T20:01:33Z,3878689159714,2668,simulate_fs:temp_K,140.0000000000
METRIC,2026-03-27T20:01:33Z,3878689192265,2668,simulate_fs:U_eV,9.0000000000
METRIC,2026-03-27T20:01:33Z,3878689230275,2668,simulate_fs:local_pair_site0_step0,0.7163690854
METRIC,2026-03-27T20:01:33Z,3878689268385,2668,simulate_fs:d_site0_step0,0.0643297362
METRIC,2026-03-27T20:01:33Z,3878689315995,2668,simulate_fs:step_pairing_norm_step0,0.6685242079
METRIC,2026-03-27T20:01:33Z,3878689355886,2668,simulate_fs:step_energy_norm_step0,2.2278897719
MODULE_END,2026-03-27T20:01:41Z,3886822737611,2668,simulate_fs:qcd_lattice_fullscale,8133686997
METRIC,2026-03-27T20:01:41Z,3886822790371,2668,simulate_fs:pairing_final,0.6147326091
METRIC,2026-03-27T20:01:41Z,3886822840661,2668,simulate_fs:energy_final_eV,2.2338776311
METRIC,2026-03-27T20:01:41Z,3886822881012,2668,simulate_fs:sign_ratio_final,-0.1944444444
METRIC,2026-03-27T20:01:41Z,3886822919852,2668,simulate_fs:elapsed_ns,8133686137.0000000000
MODULE_START,2026-03-27T20:01:41Z,3886822984932,2668,simulate_fs,quantum_field_noneq
METRIC,2026-03-27T20:01:41Z,3886823041412,2668,simulate_fs:sites,132.0000000000
METRIC,2026-03-27T20:01:41Z,3886823085513,2668,simulate_fs:steps,10500.0000000000
METRIC,2026-03-27T20:01:41Z,3886823125823,2668,simulate_fs:temp_K,180.0000000000
METRIC,2026-03-27T20:01:41Z,3886823165943,2668,simulate_fs:U_eV,7.0000000000
METRIC,2026-03-27T20:01:41Z,3886823206793,2668,simulate_fs:local_pair_site0_step0,0.7874081435
METRIC,2026-03-27T20:01:41Z,3886823246574,2668,simulate_fs:d_site0_step0,0.0358512843
METRIC,2026-03-27T20:01:41Z,3886823299054,2668,simulate_fs:step_pairing_norm_step0,0.5901686085
METRIC,2026-03-27T20:01:41Z,3886823339254,2668,simulate_fs:step_energy_norm_step0,1.7336824598
MODULE_END,2026-03-27T20:01:49Z,3895608181151,2668,simulate_fs:quantum_field_noneq,8785196219
METRIC,2026-03-27T20:01:49Z,3895608244501,2668,simulate_fs:pairing_final,0.5149650114
METRIC,2026-03-27T20:01:49Z,3895608304592,2668,simulate_fs:energy_final_eV,1.7441932671
METRIC,2026-03-27T20:01:49Z,3895608345152,2668,simulate_fs:sign_ratio_final,-0.5000000000
METRIC,2026-03-27T20:01:49Z,3895608384962,2668,simulate_fs:elapsed_ns,8785195319.0000000000
