problem,step,energy_norm,pairing_norm,sign_ratio,cpu_percent,mem_percent,elapsed_ns
hubbard_hts_core,2000,0.0101642212,0.7548896896,0.2755102041,71.19,75.42,1472187806
hubbard_hts_core,5000,0.0101642982,0.7515819038,0.3265306122,85.33,76.29,3648903265
hubbard_hts_core,10000,0.0101643002,0.7516513259,0.2959183673,78.56,76.53,7198171275
hubbard_hts_core,14000,0.0101642979,0.7515263924,0.3061224490,74.03,76.45,9946034413
qcd_lattice_fullscale,2000,0.0155126117,0.6252376502,-0.0555555556,78.44,75.71,1512656629
qcd_lattice_fullscale,5000,0.0155130412,0.6144125919,-0.1944444444,73.56,75.48,3200643557
qcd_lattice_fullscale,10000,0.0155130360,0.6146907354,-0.1666666667,72.12,75.40,6656151235
qcd_lattice_fullscale,11000,0.0155130391,0.6147326091,-0.1944444444,71.61,75.34,7415818513
quantum_field_noneq,2000,0.0132120541,0.5398611018,-0.1515151515,71.70,75.35,1403125157
quantum_field_noneq,5000,0.0132127572,0.5332960611,-0.2878787879,72.05,75.35,3584063976
quantum_field_noneq,10000,0.0132135854,0.5149702967,-0.5000000000,71.84,75.40,7169010924
quantum_field_noneq,10500,0.0132135854,0.5149650114,-0.5000000000,73.80,75.42,7643913296
dense_nuclear_fullscale,2000,0.0206658275,0.7510809733,-0.1060606061,70.96,75.42,1383200777
dense_nuclear_fullscale,5000,0.0206668400,0.7466964431,0.0151515152,73.31,75.48,3673199408
dense_nuclear_fullscale,10000,0.0206669348,0.7466168036,0.0151515152,85.64,76.54,7541566368
dense_nuclear_fullscale,10500,0.0206669348,0.7464287399,0.0303030303,75.08,75.56,7322086417
quantum_chemistry_fullscale,2000,0.0135264423,0.8079023375,0.2166666667,70.45,75.56,1459436062
quantum_chemistry_fullscale,5000,0.0135277008,0.7990152620,0.0333333333,72.62,75.34,3326610638
quantum_chemistry_fullscale,10000,0.0135276938,0.7989765345,0.0333333333,73.38,74.33,6742395887
quantum_chemistry_fullscale,11000,0.0135276926,0.7991069355,0.0500000000,74.19,74.60,7709177310
spin_liquid_exotic,2000,0.0116668662,0.8598769004,-0.0446428571,72.42,74.59,1491828749
spin_liquid_exotic,5000,0.0116670502,0.8575807381,-0.0803571429,72.47,74.61,3726416320
spin_liquid_exotic,10000,0.0116671650,0.8561176980,-0.0982142857,76.18,74.81,7315068540
spin_liquid_exotic,13000,0.0116671862,0.8551911917,-0.1071428571,78.27,75.75,9501269778
topological_correlated_materials,2000,0.0086403383,0.8259556362,-0.2088888889,72.53,75.74,1469666864
topological_correlated_materials,5000,0.0086403864,0.8251158620,-0.1733333333,74.76,75.78,3637926713
topological_correlated_materials,10000,0.0086404704,0.8233018713,-0.1377777778,85.36,76.75,7763116294
topological_correlated_materials,12500,0.0086405037,0.8239649123,-0.2000000000,84.32,78.25,9375479660
correlated_fermions_non_hubbard,2000,0.0117684251,0.7708781747,0.2857142857,82.59,78.21,1527681344
correlated_fermions_non_hubbard,5000,0.0117686176,0.7684044367,0.2527472527,76.05,78.15,3596101641
correlated_fermions_non_hubbard,10000,0.0117687545,0.7652823523,0.3186813187,76.19,76.84,7257038535
correlated_fermions_non_hubbard,12000,0.0117687545,0.7651824222,0.3186813187,72.21,76.68,8696800433
multi_state_excited_chemistry,2000,0.0108794042,0.8549201974,0.2820512821,70.91,76.66,1469475637
multi_state_excited_chemistry,5000,0.0108796572,0.8523832325,0.2051282051,75.28,76.67,3651255115
multi_state_excited_chemistry,10000,0.0108798906,0.8498564379,0.3205128205,73.02,76.66,7026207426
multi_state_excited_chemistry,11500,0.0108798917,0.8498583554,0.3333333333,71.89,76.63,8403977104
bosonic_multimode_systems,2000,0.0077003021,0.7004389015,0.4642857143,70.91,76.62,1504625212
bosonic_multimode_systems,5000,0.0077003925,0.6961652915,0.3928571429,73.63,76.66,3685356728
bosonic_multimode_systems,10000,0.0077003924,0.6963522879,0.3928571429,81.28,76.95,7505139967
bosonic_multimode_systems,11000,0.0077003924,0.6965951203,0.3809523810,77.00,77.62,7824583748
multiscale_nonlinear_field_models,2000,0.0119400747,0.6941615331,0.1145833333,71.21,77.62,1479995219
multiscale_nonlinear_field_models,5000,0.0119402359,0.6900323111,0.1458333333,71.86,77.62,3716224972
multiscale_nonlinear_field_models,10000,0.0119402343,0.6899152578,0.1354166667,73.91,76.08,7375431020
multiscale_nonlinear_field_models,11500,0.0119402337,0.6898558101,0.1458333333,73.96,76.08,8176676700
far_from_equilibrium_kinetic_lattices,2000,0.0102159497,0.6430248418,0.1897435897,71.43,76.08,1385194485
far_from_equilibrium_kinetic_lattices,5000,0.0102160212,0.6378634441,0.2410256410,71.36,76.04,3685077952
far_from_equilibrium_kinetic_lattices,10000,0.0102160184,0.6372233128,0.2410256410,73.54,76.03,7297402751
far_from_equilibrium_kinetic_lattices,12000,0.0102160189,0.6372326004,0.2410256410,71.01,76.02,8811457682
multi_correlated_fermion_boson_networks,2000,0.0094060234,0.7463335724,0.0306122449,72.01,76.02,1407177180
multi_correlated_fermion_boson_networks,5000,0.0094060297,0.7466448238,0.0204081633,81.22,76.07,3773516165
multi_correlated_fermion_boson_networks,10000,0.0094060345,0.7469334992,-0.0102040816,73.55,75.90,7265512692
multi_correlated_fermion_boson_networks,11750,0.0094060584,0.7474547772,-0.0408163265,80.34,76.94,8886397547
ed_validation_2x2,2000,0.1848108232,0.8276822074,0.0000000000,71.90,76.91,1459469513
ed_validation_2x2,5000,0.1848108232,0.8276822074,0.0000000000,71.99,76.88,3527708914
ed_validation_2x2,10000,0.1848108232,0.8276822074,0.0000000000,71.58,76.81,7242384327
ed_validation_2x2,20000,0.1848108232,0.8276822074,0.0000000000,73.29,75.75,14460358719
fermionic_sign_problem,2000,0.0241243560,0.9324297883,0.0138888889,71.54,75.76,1467830499
fermionic_sign_problem,5000,0.0241247376,0.9318415316,-0.0694444444,72.00,75.77,3723764414
fermionic_sign_problem,10000,0.0241247569,0.9318359644,-0.0833333333,71.28,75.82,7214138791
